match_id,home_team_name,away_team_name
3856041,Manchester United,Leicester City WFC
3856039,Everton LFC,Aston Villa
3852829,Tottenham Hotspur Women,Manchester United
3856035,Manchester United,Everton LFC
3856037,West Ham United LFC,Arsenal WFC
3856034,Tottenham Hotspur Women,Chelsea FCW
3856051,Manchester United,West Ham United LFC
3856045,Liverpool WFC,Tottenham Hotspur Women
3856046,Brighton & Hove Albion WFC,Manchester City WFC
3856049,Leicester City WFC,Everton LFC
3856048,Chelsea FCW,Manchester United
3856047,Arsenal WFC,Reading WFC
3856042,Arsenal WFC,Liverpool WFC
3856040,Manchester City WFC,Tottenham Hotspur Women
3856043,Chelsea FCW,Brighton & Hove Albion WFC
3856038,Reading WFC,West Ham United LFC
3856036,Liverpool WFC,Reading WFC
3856033,Leicester City WFC,Manchester City WFC
3856032,Aston Villa,Brighton & Hove Albion WFC
3856031,Chelsea FCW,Liverpool WFC
3856029,Tottenham Hotspur Women,Leicester City WFC
3856030,Manchester City WFC,Aston Villa
3856028,Reading WFC,Manchester United
3855987,Tottenham Hotspur Women,West Ham United LFC
3855985,Chelsea FCW,Reading WFC
3855965,Manchester United,Chelsea FCW
3855969,Leicester City WFC,Arsenal WFC
3855964,West Ham United LFC,Brighton & Hove Albion WFC
3855958,Everton LFC,Manchester United
3855959,Brighton & Hove Albion WFC,Tottenham Hotspur Women
3855962,Reading WFC,Leicester City WFC
3855963,Arsenal WFC,West Ham United LFC
3855957,Brighton & Hove Albion WFC,Chelsea FCW
3855950,Reading WFC,Arsenal WFC
3855951,Manchester United,Brighton & Hove Albion WFC
3855948,Tottenham Hotspur Women,Liverpool WFC
3852834,Everton LFC,Leicester City WFC
3852845,Liverpool WFC,Everton LFC
3852844,Chelsea FCW,Manchester City WFC
3852842,Leicester City WFC,Aston Villa
3852846,Brighton & Hove Albion WFC,Reading WFC
3852841,Arsenal WFC,Tottenham Hotspur Women
3855966,Liverpool WFC,Aston Villa
3855967,Reading WFC,Manchester City WFC
3855946,Aston Villa,West Ham United LFC
3855960,Chelsea FCW,Aston Villa
3855961,Manchester City WFC,Liverpool WFC
3855968,Tottenham Hotspur Women,Everton LFC
3855949,Everton LFC,Chelsea FCW
3852843,West Ham United LFC,Manchester United
3852840,Leicester City WFC,Tottenham Hotspur Women
3852836,Manchester United,Reading WFC
3852839,Aston Villa,Manchester City WFC
3856091,Brighton & Hove Albion WFC,Leicester City WFC
3856090,Manchester City WFC,Everton LFC
3856089,Reading WFC,Chelsea FCW
3856088,West Ham United LFC,Tottenham Hotspur Women
3856087,Arsenal WFC,Aston Villa
3856086,Liverpool WFC,Manchester United
3856085,Tottenham Hotspur Women,Reading WFC
3856084,Aston Villa,Liverpool WFC
3856083,Everton LFC,Brighton & Hove Albion WFC
3856082,Chelsea FCW,Arsenal WFC
3856081,Manchester United,Manchester City WFC
3856080,Leicester City WFC,West Ham United LFC
3856079,Brighton & Hove Albion WFC,West Ham United LFC
3856078,Arsenal WFC,Leicester City WFC
3856077,Reading WFC,Aston Villa
3856076,Manchester United,Tottenham Hotspur Women
3856075,Chelsea FCW,Everton LFC
3856074,Liverpool WFC,Manchester City WFC
3856073,Tottenham Hotspur Women,Brighton & Hove Albion WFC
3856072,West Ham United LFC,Chelsea FCW
3856071,Manchester City WFC,Reading WFC
3856070,Leicester City WFC,Liverpool WFC
3856069,Everton LFC,Arsenal WFC
3856068,Aston Villa,Manchester United
3856067,Chelsea FCW,Leicester City WFC
3856066,Manchester United,Arsenal WFC
3856065,Manchester City WFC,West Ham United LFC
3856064,Tottenham Hotspur Women,Aston Villa
3856063,Reading WFC,Everton LFC
3856062,Liverpool WFC,Brighton & Hove Albion WFC
3856061,Leicester City WFC,Reading WFC
3856060,Arsenal WFC,Manchester City WFC
3856059,West Ham United LFC,Liverpool WFC
3856058,Aston Villa,Chelsea FCW
3856057,Everton LFC,Tottenham Hotspur Women
3856056,Brighton & Hove Albion WFC,Manchester United
3856055,Reading WFC,Brighton & Hove Albion WFC
3856054,Manchester City WFC,Chelsea FCW
3856053,Tottenham Hotspur Women,Arsenal WFC
3856052,Aston Villa,Leicester City WFC
3856050,Everton LFC,Liverpool WFC
3856044,West Ham United LFC,Aston Villa
3856027,Brighton & Hove Albion WFC,Arsenal WFC
3856026,Everton LFC,West Ham United LFC
3855993,West Ham United LFC,Manchester City WFC
3855992,Arsenal WFC,Chelsea FCW
3855991,Everton LFC,Reading WFC
3855990,Leicester City WFC,Brighton & Hove Albion WFC
3855989,Aston Villa,Tottenham Hotspur Women
3855988,Manchester United,Liverpool WFC
3855986,Liverpool WFC,Leicester City WFC
3855984,Brighton & Hove Albion WFC,Everton LFC
3855983,Manchester City WFC,Manchester United
3855982,Aston Villa,Arsenal WFC
3855981,Reading WFC,Tottenham Hotspur Women
3855980,Manchester City WFC,Brighton & Hove Albion WFC
3855979,Liverpool WFC,West Ham United LFC
3855978,Manchester United,Aston Villa
3855977,Leicester City WFC,Chelsea FCW
3855976,Arsenal WFC,Everton LFC
3855975,Chelsea FCW,Tottenham Hotspur Women
3855974,Brighton & Hove Albion WFC,Liverpool WFC
3855973,Aston Villa,Reading WFC
3855972,Arsenal WFC,Manchester United
3855971,Everton LFC,Manchester City WFC
3855970,West Ham United LFC,Leicester City WFC
3855956,Leicester City WFC,Manchester United
